cell_line,tissue,expression_BRAF,expression_EGFR,expression_KRAS,expression_MET,expression_NF1,expression_PIK3CA,expression_RB1,expression_STK11,expression_TP53,expression_KEAP1,mutation_BRAF,mutation_EGFR,mutation_KRAS,mutation_MET,mutation_NF1,mutation_PIK3CA,mutation_RB1,mutation_STK11,mutation_TP53,mutation_KEAP1,response_718781,response_715055,response_119875,response_125973,response_123127,response_761431,response_758246,response_779217,response_756645,response_750690
BR:MCF7,BR,-0.549,-1.229,-0.072,-0.664,-0.342,-0.429,-0.344,0.647,1.153,0.704,0,0,0,0,0,0,0,,0,0,-1.37,-0.68,0.26,0.6,1.57,-0.5,-1.4,-0.09,1.15,0.12
BR:MDA-MB-231,BR,-0.361,0.588,-0.913,0.307,-2.084,0.144,0.54,0.715,0.855,0.704,0,0,0,0,0,0,0,,1,0,-0.29,-0.82,-1.77,-0.19,-0.91,-0.36,0.19,-0.15,-0.05,-0.45
BR:HS 578T,BR,0.313,0.369,-1.143,0.581,0.174,0.943,0.178,-0.398,0.831,-0.702,0,0,0,0,1,0,0,,1,0,0.06,-0.6,-0.56,0.69,-0.72,0.29,-1.09,-0.93,-0.47,-0.11
BR:BT-549,BR,-1.051,0.717,-0.229,0.132,-0.488,-0.471,-2.773,1.226,1.72,0.385,0,0,0,0,0,0,0,,1,0,-0.77,-0.51,-0.29,0.21,-0.39,-0.51,-1.18,-0.98,-1.03,-0.5
BR:T-47D,BR,-0.726,-0.632,-0.166,-1.954,1.148,1.318,0.107,-0.109,0.594,-1.051,0,0,0,0,0,1,0,,1,0,0.35,-0.31,-1.34,-0.31,0.41,-0.54,-1.47,0.55,-0.17,-2.08
CNS:SF-268,CNS,0.308,0.664,0.891,0.78,0.75,0.251,0.68,0.754,1.247,-0.175,0,1,0,0,0,0,0,,0,0,-0.34,-0.42,1.41,0.16,0.16,-0.61,-1,-0.36,-0.72,-0.57
CNS:SF-295,CNS,0.5,0.515,-0.154,0.982,1.244,0.245,0.961,0.881,0.514,1.132,0,0,0,0,1,0,0,,0,0,-0.42,0.38,1.15,-0.21,0.27,-0.11,-1.22,-0.72,1.17,-1.3
CNS:SF-539,CNS,,0.035,-0.105,-0.832,0.327,1.742,-1.907,-0.225,-0.966,0.083,0,0,0,0,0,0,1,,1,0,-0.44,-0.7,0.63,0.54,0.38,-0.35,-0.59,-0.22,-0.12,0.53
CNS:SNB-19,CNS,-0.235,0.088,-0.635,0.347,-1.901,0.172,0.728,0.971,0.698,-1.552,0,0,0,0,0,0,0,,0,0,-0.71,-0.81,-0.19,0.04,0.5,-0.65,-1.1,-0.7,-0.86,-1.48
CNS:SNB-75,CNS,0.16,0.011,-0.823,-0.06,0.623,0.991,-2.544,0.542,0.292,0.159,0,0,0,0,0,0,0,,1,0,-0.22,-0.27,0.07,0.83,0.66,-0.07,-0.94,-0.99,-0.08,-0.41
